name, addr, lon, lat
더부스 광교 앨리웨이점,영통구 광교호수공원로 80 앨리웨이광교 판매H동, 127.0607247, 37.2748113
더부엌,영통구 대학1로8번길 41, 127.0437543, 37.29875879999999
루프독스,팔달구 정조로 775-5 정율빌딩 3층, 127.0160814, 37.2770468
올라올래,팔달구 화서문로 64 4층, 127.0149424, 37.2855521
레브,언주로172길 54 1층, 127.0380194, 37.5268072
워커비,도산대로49길 6-10 지하1층, 127.0379356, 37.5235501
만국미식회,천호대로157길 18 원방빌딩 지하 1층, 127.127466, 37.53844969999999
haeimsi,천호대로157길 26 4층, 127.1274956, 37.5388775
스몰 스파이시 올리브,마곡중앙4로 22 B동 1층 111호, 126.8294265, 37.5584411
호호방,마곡중앙로 161-1 마곡나루 캐슬파크 1층 115호, 126.8276089, 37.5677127
아씨펍 크래프트,새말로 102 신도림포스빌 147호, 126.8917187, 37.5055949
테니스피자펍,경인로47길 42-1, 126.8659373, 37.5011369
3공간,동작대로9길 8-10 1층, 126.9812995, 37.48099
돈페페,사당로30길 123-1, 126.9808228, 37.4793766
오마주,사당로30길 96 1층, 126.9806707, 37.4805007
낮도깨비 밤도깨비,월드컵로15길 76 1층, 126.9075231, 37.5536853
루나씨엘로,"동교로34길 21 3, 4층", 126.925538, 37.56083599999999
루프탑지니,"월드컵북로4길 23-5 3층,4층", 126.9206814, 37.55753139999999
레이씨,연희맛로 17-14 이층, 126.9290368, 37.5671888
게락,방배중앙로 169 1층 5호, 126.9858981, 37.49401210000001
타이밍 뮤직바,양재천로 135-4 솔빌딩 1층, 127.0421756, 37.47903209999999
파운드로컬,나루터로 65, 127.0168966, 37.515454
문화식당 성수점,성수일로4길 45 2층, 127.0538147, 37.5422651
문화식당,보문로30나길 37, 127.0202944, 37.59103719999999
스패로우,동소문로20가길 50, 127.0188984, 37.59347100000001
이쩜이오,동소문로22길 57-4 지하, 127.0188194, 37.590487
째즈스토리,혜화로 88, 126.9981799, 37.5927374
술노리아,문정로1길 31, 127.1235523, 37.4888952
크래프트아일랜드 잠실점,"올림픽로35가길 10 더샵스타파크상가 114호, 115호, 119호", 127.1022734, 37.51727959999999
블랑,양산로23길 6, 126.8976109, 37.52435189999999
비어바나,도림로129길 5-1, 126.8953108, 37.5132973
남산케미스트리,회나무로 33, 126.9903945, 37.5397739
더구룸,이태원로 208 4층, 126.9970473, 37.5345018
더테이블키친,이태원로54길 58-7, 127.0007435, 37.5356306
성광대도,신흥로 63, 126.9870849, 37.5438561
어글리소사이어티,보광로59길 40 6층, 126.991823, 37.53393560000001
몰림,사직로10길 5 몰림, 126.9704748, 37.5756317
심야식당,대명길 39-5 1층, 126.9996027, 37.582766
문화식당 신당동,퇴계로86길 3-1, 127.0198286, 37.5654204
분카샤 충무로점,퇴계로31길 16 우형빌딩 4층, 126.9923898, 37.56185380000001
